,user_id,book_id,rating
0,1,43.0,3
1,1,109.0,2
2,1,151.0,1
3,1,268.0,4
4,1,310.0,3
5,1,329.0,1
6,1,346.0,5
7,1,390.0,2
8,1,494.0,1
9,1,525.0,5
10,1,585.0,3
11,1,626.0,3
12,1,668.0,5
13,1,732.0,4
14,1,768.0,4
15,1,910.0,5
16,1,968.0,4
17,1,981.0,5
18,1,1052.0,4
19,1,1170.0,1
20,1,1183.0,5
21,1,1185.0,2
22,1,1232.0,0
23,1,1293.0,2
24,1,1305.0,5
25,1,1363.0,5
26,1,1368.0,0
27,1,1391.0,0
28,1,1400.0,2
29,1,1406.0,4
30,1,1427.0,0
31,1,1429.0,5
32,1,1430.0,4
33,1,1431.0,2
34,1,1436.0,2
35,1,1439.0,0
36,2,1024.0,0
37,2,1176.0,3
38,2,1305.0,4
39,2,1314.0,4
40,2,1422.0,2
41,2,1427.0,1
42,3,12.0,3
43,3,20.0,5
44,3,29.0,3
45,3,43.0,3
46,3,50.0,0
47,3,62.0,4
48,3,109.0,4
49,3,116.0,3
50,3,120.0,5
51,3,193.0,3
52,3,213.0,4
53,3,381.0,1
54,3,681.0,4
55,3,720.0,5
56,3,721.0,5
57,3,735.0,0
58,3,784.0,3
59,3,788.0,1
60,3,868.0,1
61,3,957.0,3
62,3,977.0,0
63,3,1035.0,4
64,3,1057.0,2
65,3,1059.0,5
66,3,1165.0,5
67,3,1172.0,5
68,3,1192.0,2
69,3,1225.0,4
70,3,1271.0,2
71,3,1293.0,2
72,3,1314.0,0
73,3,1330.0,5
74,3,1343.0,2
75,3,1351.0,4
76,3,1360.0,5
77,3,1397.0,1
78,3,1429.0,4
79,3,1431.0,0
80,3,1432.0,0
81,3,1436.0,5
82,4,20.0,2
83,4,350.0,4
84,4,426.0,4
85,4,510.0,5
86,4,865.0,3
87,4,887.0,2
88,4,1160.0,5
89,4,1162.0,3
90,4,1166.0,2
91,4,1276.0,3
92,4,1296.0,1
93,4,1305.0,1
94,4,1314.0,3
95,4,1330.0,1
96,4,1338.0,2
97,4,1351.0,1
98,4,1364.0,3
99,4,1391.0,4
100,4,1393.0,4
101,4,1394.0,2
102,4,1409.0,5
103,4,1420.0,1
104,4,1424.0,4
105,4,1426.0,0
106,4,1427.0,5
107,4,1432.0,3
108,5,1166.0,5
109,5,1276.0,4
110,5,1351.0,0
111,6,152.0,5
112,6,194.0,0
113,6,237.0,3
114,6,500.0,5
115,6,656.0,3
116,6,1314.0,4
117,6,1338.0,1
118,6,1351.0,2
119,6,1360.0,4
120,6,1364.0,5
121,6,1386.0,3
122,6,1393.0,5
123,6,1394.0,4
124,6,1427.0,4
125,6,1429.0,1
126,6,1431.0,1
127,6,1432.0,3
128,6,1436.0,3
129,7,1317.0,0
130,7,1429.0,0
131,8,14.0,1
132,8,34.0,1
133,8,111.0,0
134,8,132.0,3
135,8,142.0,0
136,8,173.0,2
137,8,189.0,1
138,8,202.0,2
139,8,302.0,3
140,8,379.0,1
141,8,390.0,5
142,8,415.0,0
143,8,427.0,5
144,8,528.0,1
145,8,542.0,2
146,8,563.0,2
147,8,583.0,5
148,8,593.0,1
