,user_id,book_id,rating
0,0000b6387a0366322d7fbfc6434af145adf7fed1,43.0,1
1,0000b6387a0366322d7fbfc6434af145adf7fed1,124.0,5
2,0000b6387a0366322d7fbfc6434af145adf7fed1,173.0,5
3,0000b6387a0366322d7fbfc6434af145adf7fed1,288.0,1
4,0000b6387a0366322d7fbfc6434af145adf7fed1,349.0,2
5,0000b6387a0366322d7fbfc6434af145adf7fed1,618.0,3
6,0000b6387a0366322d7fbfc6434af145adf7fed1,732.0,5
7,0000b6387a0366322d7fbfc6434af145adf7fed1,1162.0,4
8,0000b6387a0366322d7fbfc6434af145adf7fed1,1232.0,4
9,0000b6387a0366322d7fbfc6434af145adf7fed1,1314.0,3
10,0000b6387a0366322d7fbfc6434af145adf7fed1,1337.0,2
11,0000b6387a0366322d7fbfc6434af145adf7fed1,1354.0,2
12,001055fc0bb67f71e8fa17002342b256a30254cd,124.0,3
13,001055fc0bb67f71e8fa17002342b256a30254cd,254.0,2
14,001055fc0bb67f71e8fa17002342b256a30254cd,390.0,1
15,001055fc0bb67f71e8fa17002342b256a30254cd,1386.0,1
16,00148e4911c7e04eeff8def7bbbdaf1c59c2c621,258.0,3
17,00148e4911c7e04eeff8def7bbbdaf1c59c2c621,932.0,5
18,00148e4911c7e04eeff8def7bbbdaf1c59c2c621,1386.0,5
19,001a852ecbd6cc12ab77a785efa137b2646505fe,232.0,2
20,001a852ecbd6cc12ab77a785efa137b2646505fe,349.0,2
21,001a852ecbd6cc12ab77a785efa137b2646505fe,593.0,2
22,001a852ecbd6cc12ab77a785efa137b2646505fe,957.0,2
23,001a852ecbd6cc12ab77a785efa137b2646505fe,1364.0,5
24,001fc95b90da5c3cb12c501d201a915e4f093290,379.0,1
25,001fc95b90da5c3cb12c501d201a915e4f093290,1364.0,2
26,0042719415c4fca7d30bd2d4e9d17c5fc570de13,20.0,4
27,0042719415c4fca7d30bd2d4e9d17c5fc570de13,1060.0,4
28,00772abe2d0b269b2336fc27f0f4d7cb1d2b65d7,732.0,2
29,00772abe2d0b269b2336fc27f0f4d7cb1d2b65d7,1427.0,4
30,008ba1d5b4ebf54babf516a2d5aa43e184865da5,315.0,1
31,008ba1d5b4ebf54babf516a2d5aa43e184865da5,583.0,4
32,008ba1d5b4ebf54babf516a2d5aa43e184865da5,749.0,4
